RER B : (Aéroport Charles de Gaulle - Mitry-Claye  En raison d'une panne électrique, le trafic est interrompu entre les gares Aulnay-sous-Bois et Aéroport Charles de Gaulle 2 TGV 
Ligne R: 2 suppressions axe Montargis Axe concerné:Paris Montargis.Trains supprimés :Montargis 17h04 - Paris Lyon  18h41Paris Lyon 21h18 - Montargis 22h53.SNCF Transilien
Ligne P : Paris - Meaux du 27 avril au 3 mai Des travaux de d'accessibilité pour les personnes à mobilité réduite en gare de Lagny Thorigny associés à des travaux de maintenance caténaire modifient la circulation des derniers trains sur la ligne P - axe Paris Est - Meaux - les soirées du lundi 27 avril au dimanche 3 mai, à partir de 22 heures .Une substitution routière est mise en place . Pendant les travaux, covoiturez avec , Transilien vous rembourse.SNCF Transilien
RER B : Aulnay/Aéroport CDG2 perturbé Axe concerné :Paris/Aéroport Charles de Gaulle 2 TGV (Terminal 2)Le trafic reprend entre Aulnay-sous-Bois et Aéroport Charles de Gaulle 2 TGV, dans les deux sensFin des ralentissements estimée à 15h30.Motif : incident affectant la voie à Aéroport Charles de Gaulle 2 TGV ( incident terminé )SNCF Transilien
RER C :  Av. Kennedy non desservi Axe(s) concerné(s) : ensemble de la ligneAvenue du président Kennedy non desservi, dans les deux sens.Arrêt à nouveau desservi à partir de 10h00.Motif : bagage abandonné à Av. Kennedy.SNCF Transilien
Ligne N : Paris - Rambouillet 01 mai Des travaux de renouvellement des voies en gare de La Verrière modifient la circulation des trains de la ligne N - axe Paris Montparnasse - Rambouillet - la nuit du vendredi 01 / samedi 02 mai 2015, à partir de 00h35.Les deux derniers trains au départ de Paris Montparnasse sont supprimés et un service de bus de remplacement est mis en place.Pendant les travaux, covoiturez avec , Transilien vous rembourse.SNCF Transilien
METRO 9 : Malaise voyageur  (Pont de Sèvres - Mairie de Montreuil) : En répercussion d'un malaise voyageur, le trafic est ralenti sur l'ensemble de la ligne
Ligne P : Paris - Château Thierry 01 mai Des travaux de maintenance des appareils de voies puis de vérification des caténaires entre Trilport et Château Thierry modifient la circulation des trains sur la ligne P - axe Paris Est / Château Thierry - la soirée du vendredi 01 mai 2015, à partir de 23h00.Une substitution routière est mise en place.Pendant les travaux, covoiturez avec , Transilien vous rembourse.SNCF Transilien
Métro 14 : (Saint-Lazare - Olympiades) :  En répercussion d'un incident voyageur, le trafic est ralenti sur l'ensemble de la ligne. 
Ligne P : Paris - Château Thierry 02 et 03 mai Les samedi 2 et dimanche 3 mai, deux trains voient leur horaire avancé d'une à trois minutes entre Changis et Chézy sur Marne .SNCF Transilien
Ligne P : Paris - Provins 01 mai Des travaux de maintenance des appareils de voies modifient la circulation des trains sur la ligne P - axe Paris Est - Provins - la soirée du vendredi 01 mai 2015, à partir de 20h00.Pendant les travaux, covoiturez avec , Transilien vous rembourse.SNCF Transilien
Métro 7 : (La Courneuve 8 Mai 1945 - Villejuif Lou En raison d'un incident voyageur, le trafic est interrompu entre Châtelet et Place d'Italie. 
Ligne B (Aéroport Charles de Gaulle- Mitry Claye-  En raison de la présence d'un colis suspect, l'arrêt n'est pas marqué à la gare Denfert-Rochereau en direction de Aeroport Charles de Gaulle 2-TGV / Mitry - Claye. Trafic normal sur les autres lignes de RER. 
METRO 4 : Incident voyageur  (Porte de Clignancourt – Mairie de Montrouge) : En raison d'un incident voyageur à Barbès, le trafic est ralenti en direction de Porte de Clignancourt. 
RER A : Panne matériel  (Saint-Germain-en-Laye - Poissy - Cergy Le Haut- Boissy-Saint-Léger - Marne-la-Vallée - Chessy) : En raison d'une panne de matériel, le trafic est ralenti de Bussy-Saint-Georges et Marne La Vallée-Chessy. 
RER D : Orry la Ville - Creil 2 et 3 mai Des travaux de renouvellement des voies et du ballast entre Orry la Ville et Creil modifient la circulation des trains entre Paris Nord et Creil, sur la ligne D du RER, le samedi 2 et dimanche 3 mai 2015, toute la journée.Une substitution routière est mise en place .Pendant les travaux, covoiturez avec , Transilien vous rembourse.SNCF Transilien
